id,character,name,type1,type2,damage,heal,targetType,targetCount,gearLevel,unlockLvl,effect,percentage
1,Usopp,Gear 1,self_buff,other,0,0,Self,1,1,1,None,5
2,Usopp,Enfer des piques,proj,other,200,0,Enemy,1,1,1,None,4
3,Usopp,Bille explosive,proj,other,250,0,Enemy,1,1,5,None,6
4,Usopp,Oeuf Pourri,proj,other,150,0,Enemy,1,1,3,None,3
5,Usopp,Bille Fumigene,proj,other,0,0,Enemy,1,1,3,None,3
6,Usopp,Usopp Hammer,blade,other,300,0,Enemy,1,1,5,None,5
7,Usopp,Bille de plomb,proj,other,200,0,Enemy,1,1,3,None,4
8,Usopp,Bille enflamée,fire,other,250,0,Enemy,1,1,5,None,5
9,Usopp,Pluie de Shurikens,proj,other,300,0,Enemy,1,1,7,None,6
10,Usopp,Bille cactus,proj,other,200,0,Enemy,1,1,5,None,4
11,Usopp,Bille verte : Diable,proj,other,350,0,Enemy,1,1,10,None,7
12,Usopp,Bille verte : Crane,proj,other,300,0,Enemy,1,1,8,None,6
13,Usopp,Bille verte : Humandrake,proj,other,400,0,Enemy,1,1,12,None,8
14,Usopp,Bille verte : Impact du loup,proj,other,350,0,Enemy,1,1,10,None,7
15,Usopp,Bille verte : Bambouserai,proj,other,450,0,Enemy,1,1,15,None,9
16,Usopp,Passif Usopp,resist,other,0,0,Self,1,1,1,Se cache un tour sur deux quand faible,100
