id,character,name,type1,type2,damage,heal,targetType,targetCount,gearLevel,unlockLvl,effect,percentage
2,Chopper,Heavy Point,punch,other,200,0,Enemy,1,1,1,None,8
3,Chopper,Brain Point,proj,other,180,0,Enemy,1,1,1,None,7
4,Chopper,Walk Point,punch,other,220,0,Enemy,1,1,2,None,9
5,Chopper,Horn Point,blade,other,250,0,Enemy,1,1,2,None,10
6,Chopper,Jumping Point,punch,other,260,0,Enemy,1,1,2,None,10
7,Chopper,Guard Point,self_buff,other,0,0,Self,1,1,3,Increase defense,5
8,Chopper,Arm Point,blade,other,300,0,Enemy,1,1,3,None,11
9,Chopper,Kung Fu Point,punch,other,280,0,Enemy,1,1,3,None,10
10,Chopper,Monster Point,punch,other,500,0,Enemy,2,1,4,None,15
11,Chopper,Heal Friend,heal,other,0,250,Ally,1,1,2,Heal ally,10
12,Chopper,Mass Heal,heal,other,0,400,AllAllies,2,1,4,Heal all allies,10
