id,character,name,type1,type2,damage,heal,targetType,targetCount,gearLevel,unlockLvl,effect,percentage
1,Law,Amputate,blade,magic,2200,0,Enemy,1,1,15,Damage,20
2,Law,Room Manipulation,magic,proj,2300,0,All,1,1,20,Push,20
3,Law,Shambles,magic,other,0,0,Enemy,2,1,18,Swap,25
4,Law,Counter Operation,self_buff,sup,0,0,Self,1,1,10,Buff,50
5,Law,Room,self_buff,sup,0,0,AllAllies,1,1,10,Buff,100
6,Law,Counter Shock,electricity,magic,2700,0,Enemy,1,1,25,Damage,10
7,Law,Radio Knife,blade,magic,2500,0,Enemy,1,1,15,Damage,10
8,Law,Gamma Knife,blade,electricity,3100,0,Enemy,1,1,15,Bleeding,5
9,Law,Injection Shot,blade,magic,3000,0,Enemy,1,1,15,Damage,10
10,Law,KRoom,self_buff,self_buff,0,0,Self,1,1,10,Buff,10
11,Law,RRoom,magic,magic,0,0,AllEnemies,1,1,10,Debuff,10

