id,character,name,type1,type2,damage,heal,targetType,targetCount,gearLevel,unlockLvl,effect,percentage
1,Nami,Gear 1,self_buff,other,0,0,Self,1,1,1,None,5
2,Nami,Cool Ball,magic,other,200,0,Enemy,1,1,1,None,6
3,Nami,Heat Ball,fire,other,220,0,Enemy,1,1,2,None,6
4,Nami,Thunder Ball,electric,other,250,0,Enemy,2,1,5,None,7
5,Nami,Fog Tempo,other,other,0,0,Enemy,2,1,7,None,6
6,Nami,Orage Tempo,electric,other,300,0,Enemy,1,1,10,None,8
7,Nami,Mirage Tempo,magic,other,0,0,Enemy,1,1,12,None,6
8,Nami,Rain Tempo,water,other,200,0,Enemy,1,1,15,None,6
9,Nami,Dark Cloud Tempo,magic,other,250,0,Enemy,2,1,18,None,7
10,Nami,Thunder Lance Tempo,electric,other,280,0,Enemy,1,1,20,None,8
11,Nami,Thunder Charge,electric,other,300,0,Enemy,2,1,22,None,8
12,Nami,Gear 2,self_buff,other,0,0,Self,1,2,25,None,5
13,Nami,Mirage Tempo (Invisible),magic,other,0,0,Enemy,1,2,28,invisible,6
14,Nami,Thunder Trap,electric,other,250,0,Enemy,2,2,30,None,7
15,Nami,Weather Egg,magic,other,300,0,Enemy,1,2,32,None,8
16,Nami,Rain Spark,water,other,220,0,Enemy,1,2,35,None,6
17,Nami,Nimpo: Raitei,electric,other,350,0,Enemy,3,2,40,None,8
