id,character,name,type1,type2,damage,heal,targetType,targetCount,gearLevel,unlockLvl,effect,percentage
1,Sanji,Diable Jambe,fire,kick,0,0,Self,1,1,10,buffAtk,5
2,Sanji,Stealth Black,sup,sup,0,0,Self,1,3,50,invisible,5

3,Sanji,Collier,kick,kick,200,0,Enemy,1,1,1,None,4
4,Sanji,Epaule,kick,kick,230,0,Enemy,1,1,3,None,4
5,Sanji,Selle,kick,kick,260,0,Enemy,1,1,5,None,4
6,Sanji,Mouton Shot,kick,kick,300,0,Enemy,1,1,7,stun,5
7,Sanji,Flanchet Kick,kick,kick,320,0,Enemy,1,1,10,None,5
8,Sanji,Menu Bonne Maniere,kick,kick,350,0,Enemy,1,1,12,None,5
9,Sanji,Concasse,kick,kick,380,0,Enemy,1,1,15,None,5
10,Sanji,Menu Festivites,kick,kick,420,0,Enemy,2,1,18,None,5
11,Sanji,3 Points Decoupage,kick,kick,450,0,Enemy,1,1,20,None,5
12,Sanji,Deuxieme Hache,kick,kick,470,0,Enemy,1,1,22,None,5

13,Sanji,Premier Hache,kick,kick,500,0,Enemy,1,2,25,None,5
14,Sanji,Flambage Shot,fire,kick,520,0,Enemy,1,2,28,burn,5
15,Sanji,Extra Hache,kick,kick,560,0,Enemy,1,2,30,None,5
16,Sanji,Poele a Frire,kick,kick,600,0,Enemy,1,2,35,stun,5
17,Sanji,Hell Memories,fire,kick,700,0,Area,3,2,40,burn,5
18,Sanji,Ifrit Jambe,fire,kick,0,0,Self,1,2,45,buffAtk,5
19,Sanji,Rotisserie Strike,fire,kick,750,0,Enemy,1,2,50,burn,5
20,Sanji,Boeuf Burst,fire,kick,800,0,Enemy,1,2,55,None,5

21,Sanji,Invisibility Technique,sup,sup,0,0,Self,1,3,60,invisible,5
22,Sanji,Passif Sanji,resist,other,0,0,Self,1,1,1,Boost par femmes + Immunité + impuissant contre les femmes,100
