id,character,name,type1,type2,damage,heal,targetType,targetCount,gearLevel,unlockLvl,effect,percentage
1,Zoro,One Sword Style,sup,blade,0,0,Self,1,1,1,buffDamage,10
2,Zoro,36 Klesha Slash,blade,blade,200,0,Enemy,1,1,1,None,5
3,Zoro,Iai Shishi Sonson,blade,blade,320,0,Enemy,1,1,10,crit,8
4,Zoro,Dragon Volant,blade,blade,280,0,Enemy,2,1,7,None,7
5,Zoro,360 Klesha Slash,blade,blade,420,0,Enemy,2,1,15,None,6
6,Zoro,Two Sword Style,sup,blade,0,0,Self,1,2,20,buffDamage,8
7,Zoro,Falcon Wave,blade,blade,450,0,Enemy,2,2,20,None,7
8,Zoro,Iai Rashomon,blade,blade,520,0,Enemy,1,2,25,crit,7
9,Zoro,72 Klesha Slash,blade,blade,480,0,Enemy,2,2,22,None,6
10,Zoro,Rhino Cyclone,blade,blade,550,0,Enemy,3,2,28,None,6
11,Zoro,720 Klesha Slash,blade,blade,600,0,Enemy,3,2,30,None,6
12,Zoro,Three Sword Style,sup,blade,0,0,Self,1,3,35,buffDamage,6
13,Zoro,Demon Slash,blade,blade,620,0,Enemy,1,3,35,None,5
14,Zoro,Tiger Slash,blade,blade,650,0,Enemy,1,3,38,None,5
15,Zoro,Three Sword Arcane,blade,blade,700,0,Enemy,2,3,42,None,4
16,Zoro,Wolf Passage,blade,blade,680,0,Enemy,1,3,40,crit,5
17,Zoro,Dragon Slash,blade,blade,720,0,Enemy,2,3,45,None,5
18,Zoro,Bull Horns,blade,blade,740,0,Enemy,1,3,48,None,5
19,Zoro,108 Klesha Slash,blade,blade,760,0,Enemy,2,3,50,None,5
20,Zoro,Enbima Night Without Sleep,blade,blade,800,0,Enemy,2,3,55,None,5
21,Zoro,Crossroad of Six Paths,blade,blade,820,0,Enemy,2,3,58,None,4
22,Zoro,Black Rope Dragon Twister,blade,blade,850,0,Enemy,4,3,60,None,4
23,Zoro,Purgatory Demon Slash,blade,blade,900,0,Enemy,2,3,65,None,3
24,Zoro,1080 Klesha Slash,blade,blade,950,0,Enemy,3,3,70,None,3
25,Zoro,Dragon Hell 103 Passions,blade,blade,1000,0,Enemy,3,3,75,None,3
26,Zoro,Ashura,sup,blade,0,0,Self,1,9,80,buffDamage,6
27,Zoro,Ashura Demonic Spirit,blade,blade,1100,0,Enemy,2,9,80,None,5
28,Zoro,Ashura Silver Mist,blade,blade,1150,0,Enemy,2,9,85,None,5
29,Zoro,Ashura Nine Demonic Lightning,blade,blade,1200,0,Enemy,3,9,90,None,5
